ID,N,gap,Length_before,Length_after,Year,cluster,previous,Country
LN713619,0,4,NA,NA,2015,Vac_B1,Cosmopolitan Vac,-
LN713620,0,4,NA,NA,2015,Vac_B1,Cosmopolitan Vac,-
LN713621,0,4,NA,NA,2015,Cosmopolitan Vac_A1,Cosmopolitan Vac,-
LN713622,0,4,NA,NA,2015,Cosmopolitan Vac_A1,Cosmopolitan Vac,-
LN713623,0,4,NA,NA,2015,Cosmopolitan Vac_A1,Cosmopolitan Vac,-
LN713624,0,4,NA,NA,2015,Vac_B1,Cosmopolitan Vac,-
LN713625,0,4,NA,NA,2015,Vac_B1,Cosmopolitan Vac,-
LN713626,0,5,NA,NA,2015,Cosmopolitan Vac_A1,Cosmopolitan Vac,-
LN713627,0,5,NA,NA,2015,Vac_B1,Cosmopolitan Vac,-
LN713628,0,5,NA,NA,2015,Cosmopolitan Vac_A1,Cosmopolitan Vac,-
LN713629,0,5,NA,NA,2015,Vac_B1,Cosmopolitan Vac,-
LN713630,0,18,NA,NA,2015,Vac_A1.1,Cosmopolitan Vac,-
LN713631,0,14,NA,NA,2015,Vac_A1.1,Cosmopolitan Vac,-
LN713632,0,14,NA,NA,2015,Vac_A1.1,Cosmopolitan Vac,-
LN713633,0,12,NA,NA,2015,Vac_A1.1,Cosmopolitan Vac,-
LN713634,0,10,NA,NA,2015,Vac_A1.1,Cosmopolitan Vac,-
LN713635,0,8,NA,NA,2015,Vac_B1,Cosmopolitan Vac,-
LN713636,0,8,NA,NA,2015,Cosmopolitan Vac_A1.1,Cosmopolitan Vac,-
LN713637,0,35,NA,NA,2015,Vac_B1,Cosmopolitan Vac,-
LN713638,0,36,NA,NA,2015,Cosmopolitan Vac_A1.1,Cosmopolitan Vac,-
LN713639,0,39,NA,NA,2015,Vac_B1,Cosmopolitan Vac,-
LN713640,0,39,NA,NA,2015,Vac_B1,Cosmopolitan Vac,-
LN713641,0,39,NA,NA,2015,Cosmopolitan Vac_A1.1,Cosmopolitan Vac,-
LN713642,0,39,NA,NA,2015,Cosmopolitan Vac_A1.1,Cosmopolitan Vac,-
LN713643,0,58,NA,NA,2015,Vac_B1,Cosmopolitan Vac,-
LN713644,0,58,NA,NA,2015,Vac_B1,Cosmopolitan Vac,-
LN713645,0,26,NA,NA,2015,Cosmopolitan Vac_A1.1,Cosmopolitan Vac,-
LN713646,0,26,NA,NA,2015,Vac_B1,Cosmopolitan Vac,-
LN713647,0,20,NA,NA,2015,Cosmopolitan Vac_A1,Cosmopolitan Vac,-
LN713648,0,4,NA,NA,2015,Cosmopolitan Vac_A1,Cosmopolitan Vac,-
LN713649,0,15,NA,NA,2015,Cosmopolitan Vac_A1,Cosmopolitan Vac,-
LN713650,0,26,NA,NA,2015,Cosmopolitan Vac_A1,Cosmopolitan Vac,-
LN713651,0,16,NA,NA,2015,Cosmopolitan Vac_A1,Cosmopolitan Vac,-
LN713652,0,5,NA,NA,2015,Cosmopolitan Vac_A1.1,Cosmopolitan Vac,-
LN713653,0,5,NA,NA,2015,Cosmopolitan Vac_A1.1,Cosmopolitan Vac,-
LN713654,0,5,NA,NA,2015,Cosmopolitan Vac_A1.1,Cosmopolitan Vac,-
LN713655,0,5,NA,NA,2015,Cosmopolitan Vac_A1.1,Cosmopolitan Vac,-
LN713656,0,5,NA,NA,2015,Cosmopolitan Vac_A1.1,Cosmopolitan Vac,-
LN713657,0,47,NA,NA,2015,Vac_A1.2,Cosmopolitan Vac,-
LN713658,0,43,NA,NA,2015,Vac_A1.2,Cosmopolitan Vac,-
LN713659,0,9,NA,NA,2015,Vac_A1.2,Cosmopolitan Vac,-
LN713660,0,59,NA,NA,2015,Vac_A1.2,Cosmopolitan Vac,-
LN713661,0,9,NA,NA,2015,Vac_A1.2,Cosmopolitan Vac,-
LN713662,0,23,NA,NA,2015,Cosmopolitan Vac_A1.1.1,Cosmopolitan Vac,-
LN713663,0,23,NA,NA,2015,Cosmopolitan Vac_A1.1.1,Cosmopolitan Vac,-
LN713664,0,24,NA,NA,2015,Cosmopolitan Vac_A1.1.1,Cosmopolitan Vac,-
LN713665,0,5,NA,NA,2015,Cosmopolitan Vac_A1.1.1,Cosmopolitan Vac,-
LN713666,0,5,NA,NA,2015,Cosmopolitan Vac_A1.1.1,Cosmopolitan Vac,-
LN713667,0,13,NA,NA,2015,Cosmopolitan Vac_A1.1.1,Cosmopolitan Vac,-
LN713668,0,13,NA,NA,2015,Cosmopolitan Vac_A1.1.1,Cosmopolitan Vac,-
LN713669,0,7,NA,NA,2015,Cosmopolitan Vac_A1.1.1,Cosmopolitan Vac,-
LN713670,0,7,NA,NA,2015,Cosmopolitan Vac_A1.1.1,Cosmopolitan Vac,-
LR812025,0,6,NA,NA,2020,Vac_A1,Cosmopolitan Vac,-
LR812027,0,4,NA,NA,2020,Vac_A1,Cosmopolitan Vac,-
LR812028,0,5,NA,NA,2020,Vac_A1.1,Cosmopolitan Vac,-
LR812029,0,9,NA,NA,2020,Vac_A1,Cosmopolitan Vac,Austria
LR812030,0,8,NA,NA,2020,Vac_A1.1,Cosmopolitan Vac,Austria
LR812031,0,8,NA,NA,2020,Vac_A1.1,Cosmopolitan Vac,China
LR812032,0,4,NA,NA,2020,Vac_A1.1,Cosmopolitan Vac,China
LR812033,0,13,NA,NA,2020,Cosmopolitan Vac_A1.1,Cosmopolitan Vac,China
LR812034,0,5,NA,NA,2020,Vac_A1,Cosmopolitan Vac,China
LT909527,0,3,NA,NA,2018,Vac_A1.2,Cosmopolitan Vac,China
LT909549,0,3,NA,NA,2018,Vac_A1.2,Cosmopolitan Vac,China
LT993233,0,31,NA,NA,2018,Cosmopolitan Vac_A1,Cosmopolitan Vac,China
LT993234,5,23,NA,NA,2018,Cosmopolitan Vac_A1.1,Cosmopolitan Vac,China
LT993235,0,24,NA,NA,2018,Cosmopolitan Vac_A1.1,Cosmopolitan Vac,China
LT993236,0,4,NA,NA,2018,Cosmopolitan Vac_A1.1,Cosmopolitan Vac,China
LT993237,0,7,NA,NA,2018,Cosmopolitan Vac_A1.1,Cosmopolitan Vac,China
LT993238,0,4,NA,NA,2018,Cosmopolitan Vac_A1.1,Cosmopolitan Vac,China
LT993239,0,4,NA,NA,2018,Cosmopolitan Vac_A1.1,Cosmopolitan Vac,Czechia
LT993240,0,1,NA,NA,2018,Vac_A1,Cosmopolitan Vac,Czechia
LT993241,0,18,NA,NA,2018,Vac_A1.1,Cosmopolitan Vac,Czechia
LT993242,0,28,NA,NA,2018,Vac_A1,Cosmopolitan Vac,France
LT993243,0,4,NA,NA,2018,Cosmopolitan Vac_A1.1,Cosmopolitan Vac,Germany
LT993244,0,4,NA,NA,2018,Cosmopolitan Vac_A1.1,Cosmopolitan Vac,Germany
LT993245,0,4,NA,NA,2018,Cosmopolitan Vac_A1.1,Cosmopolitan Vac,Germany
LT993246,0,80,NA,NA,2018,Cosmopolitan Vac_A1.1,Cosmopolitan Vac,Germany
M13215,0,0,NA,NA,1993,Vac_A1.2,Cosmopolitan Vac,Germany
M31046,0,4,NA,NA,1993,Cosmopolitan Vac_A1.1,Cosmopolitan Vac,Hungary
MF630920,0,49,NA,NA,2016,Vac_A1,Cosmopolitan Vac,Mexico
MH660455,0,395,NA,NA,2017,Cosmopolitan Vac_A1.1,Cosmopolitan Vac,Mexico
MK111075,0,58,NA,NA,2015,Cosmopolitan Vac_A1,Cosmopolitan Vac,Mexico
MK111076,0,58,NA,NA,2019,Cosmopolitan Vac_A1,Cosmopolitan Vac,Mexico
MK111077,0,58,NA,NA,2019,Cosmopolitan Vac_A1,Cosmopolitan Vac,Mexico
MK111078,0,58,NA,NA,2019,Cosmopolitan Vac_A1,Cosmopolitan Vac,Mexico
MK111079,0,58,NA,NA,2019,Cosmopolitan Vac_A1,Cosmopolitan Vac,Morocco
MK111080,0,58,NA,NA,2019,Cosmopolitan Vac_A1,Cosmopolitan Vac,Nepal
MK420470,0,0,1353,1353,2019,Vac_A1.2,Cosmopolitan Vac,Russia
NC_001542,0,0,NA,NA,1993,Vac_A1.2,Cosmopolitan Vac,Slovenia
