"ID","assignment","country","year"
"HM486367","Asian SEA2a","China",2005
"HM486368","Asian SEA2a","China",2005
"HM486369","Asian SEA2a","China",2006
"HM486370","Asian SEA2a","China",2005
"HM486371","Asian SEA2a","China",2005
"HM486372","Asian SEA2a","China",2006
"HM486373","Asian SEA2a","China",2008
"HM486374","Asian SEA2a","China",2008
"HM486375","Asian SEA2a","China",2008
"HM486376","Asian SEA1b","China",2008
"HM486377","Asian SEA1b","China",2008
"HM486378","Asian SEA1b","China",2007
"HM486379","Asian SEA2a","China",2007
"HM486380","Asian SEA2a","China",2006
"HM486381","Asian SEA2a","China",2007
"HM756692","Asian SEA1b","China",2008
"HQ118101","Asian SEA1b","China",1989
"HQ118102","Asian SEA1b","China",2006
"HQ118103","Asian SEA1b","China",2008
"HQ118104","Asian SEA1b","China",1989
"HQ118105","Asian SEA1b","China",2008
"HQ118106","Asian SEA1b","China",2008
"HQ118107","Asian SEA1b","China",2008
"HQ118108","Asian SEA1b","China",2008
"HQ118109","Asian SEA1b","China",2008
"HQ118110","Asian SEA1b","China",2008
"HQ118111","Asian SEA1b","China",2008
"HQ118112","Asian SEA1b","China",2008
"HQ118113","Asian SEA1b","China",2008
"HQ118114","Asian SEA2b","China",2008
"HQ118117","Asian SEA2b","China",2008
"HQ118118","Asian SEA2b","China",2008
"HQ317918","Asian SEA2a","China",1956
"HQ450385","Asian SEA1b","China",2008
"HQ695732","Asian SEA1b","China",2009
"JF796851","Asian SEA1b","China",2010
"JF810669","Asian SEA1b","China",2009
"JF810671","Asian SEA1b","China",2008
"JF819603","Asian SEA3","China",2014
"JF819604","Asian SEA3","China",2014
"JF819605","Asian SEA2a","China",2014
"JF819606","Asian SEA2a","China",2014
"JF819607","Asian SEA2a","China",2014
"JF819608","Asian SEA3","China",2014
"JF819609","Asian SEA3","China",2014
"JF819610","Asian SEA3","China",2014
"JF819611","Asian SEA1b","China",2009
"JF819612","Asian SEA2a","China",2014
"JF819613","Asian SEA2a","China",2014
"JF819614","Asian SEA2a","China",2014
"JF819615","Asian SEA2a","China",2014
"JF819616","Asian SEA3","China",2014
"JF819617","Asian SEA3","China",2014
"JF819618","Asian SEA3","China",2014
"JF819619","Asian SEA1b","China",2010
"JF819620","Asian SEA1b","China",2010
"JF819621","Asian SEA1b","China",2010
"JF819622","Asian SEA2a","China",2014
"JF819623","Asian SEA1b","China",2010
"JF819624","Asian SEA1b","China",2010
"JN609295","Asian SEA1b","China",2008
"JN786877","Asian SEA3","Thailand",2012
"JN786878","Asian SEA3","Thailand",2012
"JN974823","Asian SEA2a","China",2008
"JN974824","Asian SEA2a","China",2005
"JN974825","Asian SEA2b","China",2006
"JN974826","Asian SEA1b","China",2006
"JN974827","Asian SEA1b","China",2006
"JN974828","Asian SEA2a","China",2006
"JN974829","Asian SEA2a","China",2008
"JN974830","Asian SEA1b","China",2005
"JN974831","Asian SEA2a","China",2005
"JN974832","Asian SEA1b","China",2009
"JN974833","Asian SEA1b","China",2010
"JN974834","Asian SEA1b","China",2010
"JN974835","Asian SEA1b","China",2010
"JN974836","Asian SEA1b","China",2005
"JN974837","Asian SEA1b","China",2005
"JN974838","Asian SEA2a","China",2005
"JN974839","Asian SEA1b","China",2005
"JN974840","Asian SEA1b","China",2006
"JN974841","Asian SEA2a","China",2006
"JN974842","Asian SEA2a","China",2006
"JN974843","Asian SEA2a","China",2006
"JN974844","Asian SEA1b","China",2007
"JN974845","Asian SEA2a","China",2008
"JN974846","Asian SEA1b","China",2008
"JN974847","Asian SEA2a","China",2008
"JN974848","Asian SEA1b","China",2009
"JN974849","Asian SEA1b","China",2008
"JN974850","Asian SEA1b","China",2008
"JN974851","Asian SEA1b","China",2008
"JN974852","Asian SEA1b","China",2008
"JN974853","Asian SEA1b","China",2009
"JN974854","Asian SEA2a","China",2009
"JN974855","Asian SEA1b","China",2009
"JN974856","Asian SEA1b","China",2008
"JN974857","Asian SEA1b","China",2008
"JN974858","Asian SEA1b","China",2009
"JN974859","Asian SEA1b","China",2009
"JN974860","Asian SEA1b","China",2009
"JN974861","Asian SEA1b","China",2010
"JN974862","Asian SEA1b","China",2010
"JN974863","Asian SEA1b","China",2010
"JN974864","Asian SEA1b","China",2008
"JN974865","Asian SEA1b","China",2008
"JN974866","Asian SEA1b","China",2009
"JN974867","Asian SEA1b","China",2009
"JN974868","Asian SEA1b","China",2009
"JN974869","Asian SEA1b","China",2009
"JN974870","Asian SEA2a","China",2003
